"provided","standard"
"Cambria","Cambria"
"Centre","Centre"
"Snyder","Snyder"
"Susquehanna","Susquehanna"
"Lebanon","Lebanon"
"Indiana","Indiana"
"Schuylkill","Schuylkill"
"Dauphin","Dauphin"
"Westmoreland","Westmoreland"
"Lehigh","Lehigh"
"Chester","Chester"
"Lackawanna","Lackawanna"
"Luzerne","Luzerne"
"Philadelphia","Philadelphia"
"Newport","Newport"
"Providence","Providence"
"Abbeville","Abbeville"
"Allendale","Allendale"
"Bamberg","Bamberg"
"Barnwell","Barnwell"
"Chesterfield","Chesterfield"
"Darlington","Darlington"
"Dillon","Dillon"
"Edgefield","Edgefield"
"Greenwood","Greenwood"
"Hampton","Hampton"
"Marlboro","Marlboro"
"Oconee","Oconee"
"Orangeburg","Orangeburg"
"Pickens","Pickens"
"Saluda","Saluda"
"Williamsburg","Williamsburg"
"Colleton","Colleton"
"Laurens","Laurens"
"McCormick","McCormick"
"Newberry","Newberry"
"Georgetown","Georgetown"
"Aiken","Aiken"
"Berkeley","Berkeley"
"Charleston","Charleston"
"Anderson","Anderson"
"Spartanburg","Spartanburg"
"Clarendon","Clarendon"
"Sumter","Sumter"
"Florence","Florence"
"Kershaw","Kershaw"
"Lexington","Lexington"
"Horry","Horry"
"Greenville","Greenville"
"Aurora","Aurora"
"Bon Homme","Bon Homme"
"Brookings","Brookings"
"Charles Mix","Charles Mix"
"Codington","Codington"
"Corson","Corson"
"Deuel","Deuel"
"Fall River","Fall River"
"Faulk","Faulk"
"Hamlin","Hamlin"
"Hughes","Hughes"
"Hutchinson","Hutchinson"
"Hyde","Hyde"
"Jerauld","Jerauld"
"Lyman","Lyman"
"Meade","Meade"
"Miner","Miner"
"Moody","Moody"
"Oglala Lakota","Oglala Lakota"
"Pennington","Pennington"
"Roberts","Roberts"
"Sanborn","Sanborn"
"Spink","Spink"
"Sully","Sully"
"Turner","Turner"
"Walworth","Walworth"
"Yankton","Yankton"
"Davison","Davison"
"McCook","McCook"
"Beadle","Beadle"
"Minnehaha","Minnehaha"
"Bledsoe","Bledsoe"
"Cannon","Cannon"
"Cheatham","Cheatham"
"Cocke","Cocke"
"Coffee","Coffee"
"Decatur","Decatur"
"Dickson","Dickson"
"Dyer","Dyer"
"Fentress","Fentress"
"Gibson","Gibson"
"Giles","Giles"
"Grainger","Grainger"
"Hardeman","Hardeman"
"Hickman","Hickman"
"Loudon","Loudon"
"McMinn","McMinn"
"McNairy","McNairy"
"Overton","Overton"
"Rhea","Rhea"
"Roane","Roane"
"Robertson","Robertson"
"Sequatchie","Sequatchie"
"Stewart","Stewart"
"Tipton","Tipton"
"Unicoi","Unicoi"
"Weakley","Weakley"
"White","White"
"Bradley","Bradley"
"Campbell","Campbell"
"Grundy","Grundy"
"Hamblen","Hamblen"
"Maury","Maury"
"Obion","Obion"
"Sevier","Sevier"
"Trousdale","Trousdale"
"Hawkins","Hawkins"
"Blount","Blount"
"Williamson","Williamson"
"Graham","Graham"
"Swain","Swain"
"Yancey","Yancey"
"Benson","Benson"
"Nelson","Nelson"
"Pembina","Pembina"
"Ransom","Ransom"
"Traill","Traill"
"Wells","Wells"
"Vinton","Vinton"
"Blaine","Blaine"
"Cimarron","Cimarron"
"Harper","Harper"
"Pushmataha","Pushmataha"
"Baker","Baker"
"Harney","Harney"
"Day","Day"
"Hand","Hand"
"McPherson","McPherson"
"Stanley","Stanley"
"Ziebach","Ziebach"
"Crockett","Crockett"
"Pickett","Pickett"
"Sumner","Sumner"
"Andrews","Andrews"
"Angelina","Angelina"
"Aransas","Aransas"
"Austin","Austin"
"Bailey","Bailey"
"Bandera","Bandera"
"Bee","Bee"
"Blanco","Blanco"
"Bosque","Bosque"
"Brewster","Brewster"
"Briscoe","Briscoe"
"Brooks","Brooks"
"Burleson","Burleson"
"Burnet","Burnet"
"Camp","Camp"
"Carson","Carson"
"Chambers","Chambers"
"Childress","Childress"
"Cochran","Cochran"
"Coke","Coke"
"Coleman","Coleman"
"Collingsworth","Collingsworth"
"Colorado","Colorado"
"Concho","Concho"
"Cooke","Cooke"
"Crane","Crane"
"Dallam","Dallam"
"Deaf Smith","Deaf Smith"
"Dickens","Dickens"
"Dimmit","Dimmit"
"Donley","Donley"
"Duval","Duval"
"Eastland","Eastland"
"Falls","Falls"
"Floyd","Floyd"
"Freestone","Freestone"
"Frio","Frio"
"Gaines","Gaines"
"Garza","Garza"
"Gillespie","Gillespie"
"Glasscock","Glasscock"
"Goliad","Goliad"
"Gray","Gray"
"Grayson","Grayson"
"Gregg","Gregg"
"Hemphill","Hemphill"
"Hopkins","Hopkins"
"Jack","Jack"
"Jim Hogg","Jim Hogg"
"Jim Wells","Jim Wells"
"Karnes","Karnes"
"Kendall","Kendall"
"Kerr","Kerr"
"Kimble","Kimble"
"La Salle","La Salle"
"Lamb","Lamb"
"Lampasas","Lampasas"
"Leon","Leon"
"Lipscomb","Lipscomb"
"Live Oak","Live Oak"
"Llano","Llano"
"Maverick","Maverick"
"McCulloch","McCulloch"
"Motley","Motley"
"Nolan","Nolan"
"Parker","Parker"
"Parmer","Parmer"
"Pecos","Pecos"
"Rains","Rains"
"Reeves","Reeves"
"Refugio","Refugio"
"Runnels","Runnels"
"San Jacinto","San Jacinto"
"San Patricio","San Patricio"
"Scurry","Scurry"
"Shackelford","Shackelford"
"Starr","Starr"
"Swisher","Swisher"
"Terry","Terry"
"Titus","Titus"
"Trinity","Trinity"
"Tyler","Tyler"
"Upshur","Upshur"
"Uvalde","Uvalde"
"Val Verde","Val Verde"
"Waller","Waller"
"Wharton","Wharton"
"Wheeler","Wheeler"
"Wilbarger","Wilbarger"
"Winkler","Winkler"
"Yoakum","Yoakum"
"Zapata","Zapata"
"Zavala","Zavala"
"Atascosa","Atascosa"
"Callahan","Callahan"
"Castro","Castro"
"Cottle","Cottle"
"Crosby","Crosby"
"DeWitt","DeWitt"
"Erath","Erath"
"Fannin","Fannin"
"Grimes","Grimes"
"Hockley","Hockley"
"Kaufman","Kaufman"
"Kleberg","Kleberg"
"Lavaca","Lavaca"
"Limestone","Limestone"
"Lynn","Lynn"
"Milam","Milam"
"Montague","Montague"
"Ochiltree","Ochiltree"
"Oldham","Oldham"
"Rusk","Rusk"
"San Augustine","San Augustine"
"Tom Green","Tom Green"
"Van Zandt","Van Zandt"
"Willacy","Willacy"
"Young","Young"
"Bastrop","Bastrop"
"Coryell","Coryell"
"Gonzales","Gonzales"
"Hansford","Hansford"
"Hartley","Hartley"
"Hays","Hays"
"Navarro","Navarro"
"Palo Pinto","Palo Pinto"
"Walker","Walker"
"Wichita","Wichita"
"Wise","Wise"
"Bell","Bell"
"Hood","Hood"
"Hunt","Hunt"
"Nueces","Nueces"
"Randall","Randall"
"Ector","Ector"
"Hale","Hale"
"McLennan","McLennan"
"Rockwall","Rockwall"
"Matagorda","Matagorda"
"Victoria","Victoria"
"Comal","Comal"
"Hidalgo","Hidalgo"
"Brazoria","Brazoria"
"Nacogdoches","Nacogdoches"
"Bowie","Bowie"
"Ellis","Ellis"
"Webb","Webb"
"Brazos","Brazos"
"Denton","Denton"
"Collin","Collin"
"Galveston","Galveston"
"El Paso","El Paso"
"Fort Bend","Fort Bend"
"Lubbock","Lubbock"
"Bexar","Bexar"
